timeTriInsertion;timeTriBulle;timeTriFusion;timeTriRapide;mode;moyenne;effectif;ecartType;mediane;variance
14200;38400;33600;13500;79;4778.67;100;2892.6415161751374;4738.0;8367374.941099997
786400;2708600;116700;155600;12;4798.451;1000;2813.11835222036;4733.0;7913634.863598994
1730100;5393900;173300;148400;60;5041.896;1500;2900.7331217901947;5059.5;8414252.643850688
3374800;9625000;216400;179700;78;4950.676;2000;2874.3328886933064;4916.5;8261789.555024007
5494100;15828400;303800;211800;75;5003.9452;2500;2879.3035693717607;5026.5;8290389.044596961
8991900;23805400;350300;255500;65;5038.993333333333;3000;2880.8846851772637;5101.0;8299496.569288901
11822900;33501500;422700;343300;5;5016.192571428572;3500;2896.6500318326744;5097.0;8390581.406916235
15630000;43599500;496100;360000;48;5020.55475;4000;2913.1264128084845;5033.0;8486305.497002428
29169900;74012100;647400;492100;95;4994.479;5000;2871.126427581869;5037.0;8243366.963159026
67481500;157374000;1002500;724100;3;5040.338428571428;7000;2896.017786332086;4997.5;8386919.0187517945
128482600;249831000;1339900;912300;15;4992.805222222222;9000;2901.6743603488762;4972.0;8419714.09350606
131060100;244440300;1310500;907100;12;4956.834111111111;9000;2903.927479683103;4938.0;8432794.807258656
226944700;339807600;1875100;1528300;93;4976.819363636364;11000;2877.6767326198155;4985.0;8281023.377461458
473764900;673199300;2597400;1579400;23;5047.825866666667;15000;2893.3095323194993;5116.5;8371240.049810879
2443623400;2275682400;5553200;4304400;110;5012.7534;30000;2872.1860848353435;5000.0;8249452.905921779
7240758100;6226745500;9971800;7273200;33;5000.31958;50000;2882.0894661839634;4984.5;8306439.691088563
17208883100;14461077200;16468800;9768900;55;5000.199826666667;75000;2890.9507777250783;5013.0;8357596.399229235
32354509700;27910654600;25629300;13628500;94;5013.80578;100000;2884.985081389242;5032.0;8323138.919838493